sensor_id,room_number,room_type,type,attached_to,apartment,cluster_name,sensor_iri,measurement_point_iri,room_iri,asset_iri,water_kind_iri
S0096,R025,Bathroom,hot water consumption,Shower,APT_005,CL_A,https://w3id.org/eautonome/hsbSensorS0096,https://w3id.org/eautonome/hsbMeasurementPointS0096,https://w3id.org/eautonome/hsbRoomR025,https://w3id.org/eautonome/hsbAssetS0096,https://w3id.org/eautonome/hsbHotWater
S0097,R025,Bathroom,cold water consumption,Shower,APT_005,CL_A,https://w3id.org/eautonome/hsbSensorS0097,https://w3id.org/eautonome/hsbMeasurementPointS0097,https://w3id.org/eautonome/hsbRoomR025,https://w3id.org/eautonome/hsbAssetS0097,https://w3id.org/eautonome/hsbColdWater
S0098,R026,Bathroom,hot water consumption,Shower,APT_006,CL_I,https://w3id.org/eautonome/hsbSensorS0098,https://w3id.org/eautonome/hsbMeasurementPointS0098,https://w3id.org/eautonome/hsbRoomR026,https://w3id.org/eautonome/hsbAssetS0098,https://w3id.org/eautonome/hsbHotWater
S0099,R026,Bathroom,cold water consumption,Shower,APT_006,CL_I,https://w3id.org/eautonome/hsbSensorS0099,https://w3id.org/eautonome/hsbMeasurementPointS0099,https://w3id.org/eautonome/hsbRoomR026,https://w3id.org/eautonome/hsbAssetS0099,https://w3id.org/eautonome/hsbColdWater
S0100,R026,Bathroom,cold water consumption,Toilet,APT_006,CL_I,https://w3id.org/eautonome/hsbSensorS0100,https://w3id.org/eautonome/hsbMeasurementPointS0100,https://w3id.org/eautonome/hsbRoomR026,https://w3id.org/eautonome/hsbAssetS0100,https://w3id.org/eautonome/hsbColdWater
S0101,R025,Bathroom,cold water consumption,Toilet,APT_005,CL_A,https://w3id.org/eautonome/hsbSensorS0101,https://w3id.org/eautonome/hsbMeasurementPointS0101,https://w3id.org/eautonome/hsbRoomR025,https://w3id.org/eautonome/hsbAssetS0101,https://w3id.org/eautonome/hsbColdWater
S0102,R030,Bathroom,hot water consumption,Washbasin,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0102,https://w3id.org/eautonome/hsbMeasurementPointS0102,https://w3id.org/eautonome/hsbRoomR030,https://w3id.org/eautonome/hsbAssetS0102,https://w3id.org/eautonome/hsbHotWater
S0103,R030,Bathroom,cold water consumption,Washbasin,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0103,https://w3id.org/eautonome/hsbMeasurementPointS0103,https://w3id.org/eautonome/hsbRoomR030,https://w3id.org/eautonome/hsbAssetS0103,https://w3id.org/eautonome/hsbColdWater
S0104,R030,Bathroom,hot water consumption,Shower,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0104,https://w3id.org/eautonome/hsbMeasurementPointS0104,https://w3id.org/eautonome/hsbRoomR030,https://w3id.org/eautonome/hsbAssetS0104,https://w3id.org/eautonome/hsbHotWater
S0105,R030,Bathroom,cold water consumption,Shower,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0105,https://w3id.org/eautonome/hsbMeasurementPointS0105,https://w3id.org/eautonome/hsbRoomR030,https://w3id.org/eautonome/hsbAssetS0105,https://w3id.org/eautonome/hsbColdWater
S0106,R031,Shared space,hot water consumption,Kitchen tap,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0106,https://w3id.org/eautonome/hsbMeasurementPointS0106,https://w3id.org/eautonome/hsbRoomR031,https://w3id.org/eautonome/hsbAssetS0106,https://w3id.org/eautonome/hsbHotWater
S0107,R031,Shared space,cold water consumption,Kitchen tap,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0107,https://w3id.org/eautonome/hsbMeasurementPointS0107,https://w3id.org/eautonome/hsbRoomR031,https://w3id.org/eautonome/hsbAssetS0107,https://w3id.org/eautonome/hsbColdWater
S0108,R030,Bathroom,cold water consumption,Washing machine,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0108,https://w3id.org/eautonome/hsbMeasurementPointS0108,https://w3id.org/eautonome/hsbRoomR030,https://w3id.org/eautonome/hsbAssetS0108,https://w3id.org/eautonome/hsbColdWater
S0109,R030,Bathroom,cold water consumption,Toilet,APT_017,CL_E,https://w3id.org/eautonome/hsbSensorS0109,https://w3id.org/eautonome/hsbMeasurementPointS0109,https://w3id.org/eautonome/hsbRoomR030,https://w3id.org/eautonome/hsbAssetS0109,https://w3id.org/eautonome/hsbColdWater
S0110,R028,Bathroom,hot water consumption,Washbasin,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0110,https://w3id.org/eautonome/hsbMeasurementPointS0110,https://w3id.org/eautonome/hsbRoomR028,https://w3id.org/eautonome/hsbAssetS0110,https://w3id.org/eautonome/hsbHotWater
S0111,R028,Bathroom,cold water consumption,Washbasin,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0111,https://w3id.org/eautonome/hsbMeasurementPointS0111,https://w3id.org/eautonome/hsbRoomR028,https://w3id.org/eautonome/hsbAssetS0111,https://w3id.org/eautonome/hsbColdWater
S0112,R028,Bathroom,hot water consumption,Shower,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0112,https://w3id.org/eautonome/hsbMeasurementPointS0112,https://w3id.org/eautonome/hsbRoomR028,https://w3id.org/eautonome/hsbAssetS0112,https://w3id.org/eautonome/hsbHotWater
S0113,R028,Bathroom,cold water consumption,Shower,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0113,https://w3id.org/eautonome/hsbMeasurementPointS0113,https://w3id.org/eautonome/hsbRoomR028,https://w3id.org/eautonome/hsbAssetS0113,https://w3id.org/eautonome/hsbColdWater
S0114,R029,Shared space,hot water consumption,Kitchen tap,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0114,https://w3id.org/eautonome/hsbMeasurementPointS0114,https://w3id.org/eautonome/hsbRoomR029,https://w3id.org/eautonome/hsbAssetS0114,https://w3id.org/eautonome/hsbHotWater
S0115,R029,Shared space,cold water consumption,Kitchen tap,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0115,https://w3id.org/eautonome/hsbMeasurementPointS0115,https://w3id.org/eautonome/hsbRoomR029,https://w3id.org/eautonome/hsbAssetS0115,https://w3id.org/eautonome/hsbColdWater
S0116,R028,Bathroom,cold water consumption,Toilet,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0116,https://w3id.org/eautonome/hsbMeasurementPointS0116,https://w3id.org/eautonome/hsbRoomR028,https://w3id.org/eautonome/hsbAssetS0116,https://w3id.org/eautonome/hsbColdWater
S0117,R028,Bathroom,cold water consumption,Washing machine,APT_003,CL_C,https://w3id.org/eautonome/hsbSensorS0117,https://w3id.org/eautonome/hsbMeasurementPointS0117,https://w3id.org/eautonome/hsbRoomR028,https://w3id.org/eautonome/hsbAssetS0117,https://w3id.org/eautonome/hsbColdWater
S0118,R033,Living room,hot water consumption,Washbasin,APT_024,CL_D,https://w3id.org/eautonome/hsbSensorS0118,https://w3id.org/eautonome/hsbMeasurementPointS0118,https://w3id.org/eautonome/hsbRoomR033,https://w3id.org/eautonome/hsbAssetS0118,https://w3id.org/eautonome/hsbHotWater
S0119,R033,Living room,cold water consumption,Washbasin,APT_024,CL_D,https://w3id.org/eautonome/hsbSensorS0119,https://w3id.org/eautonome/hsbMeasurementPointS0119,https://w3id.org/eautonome/hsbRoomR033,https://w3id.org/eautonome/hsbAssetS0119,https://w3id.org/eautonome/hsbColdWater
S0120,R034,Living room,hot water consumption,Washbasin,APT_004,CL_D,https://w3id.org/eautonome/hsbSensorS0120,https://w3id.org/eautonome/hsbMeasurementPointS0120,https://w3id.org/eautonome/hsbRoomR034,https://w3id.org/eautonome/hsbAssetS0120,https://w3id.org/eautonome/hsbHotWater
